name,flag,region,status,issuanceModel,isSubnational,url,technology,credentialType,walletType,credentialFormat,description,issuedCredentialTypes,issuingAuthorities,acceptedCredentials
Finland,fi,eu,development,wallet,False,https://dvv.fi/en/european-digital-identity-wallet,Findy + EUDI Wallet,Government Wallet (Multi-credential),Government,Verifiable Credentials,"Findy network + EUDI Wallet launching end 2026. Wallet will hold credentials from government, banks, other issuers.",eID; Mobile Certificate; EUDI Wallet; Bank ID; Health Card,DVV (Digital and Population Data Agency); Finnish Banks; Kela (Social Insurance Institution),Government Services; Healthcare; Banking; Travel (Domestic)
Austroads,au,apac,development,single,False,https://austroads.gov.au/drivers-and-vehicles/digital-trust-service,Digital Trust Service - National Digital Credential,Government Wallet,Platform,mDL,National digital trust service for interoperable digital credentials across Australia and NZ.,Digital Driver License; National Digital Credential,Austroads; State/Territory Transport Authorities,Travel (Domestic); Age Verification; Government Services
Australia,au,apac,production,cloud,False,https://www.myid.gov.au/,Cloud-native federated identity (myID),Government Wallet,Browser/Cloud,OIDC,Federal system. Voluntary myID for 76+ services. Cloud-based. States have additional programs.,Digital ID (myGovID); Physical Driver License (state); Passport; Proof of Age Card,ATO (myGovID); State/Territory Transport Authorities; DFAT,Federal Government Services; Tax Services; Healthcare; Age Verification; Travel (Domestic)
Brazil,br,na,production,single,False,https://www.gov.br/ids/,Gov.br 3-tier system + new national ID card with QR,OIDC-style authentication,Government,OIDC,Since 2017. New national ID (Carteira de Identidade Nacional) replacing RG. 166M Gold accounts.,Gov.br; RG; CNH Digital; CPF; Passport,Ministry of Economy; State Secretariats; DENATRAN; Federal Police,Government Services; Banking; Travel (Domestic); Age Verification
China,cn,apac,production,cloud,False,https://www.mps.gov.cn/,Cyber ID / Web ID (voluntary),OIDC-style authentication,Browser/Cloud,OIDC,"Launched July 2025. Voluntary online identity linked to physical ID. 16M downloads, 6M credentials applied.",Resident Identity Card; Digital ID (CTID); Passport; Driver License; Social Security Card,Ministry of Public Security; Ministry of Transport; Ministry of Human Resources,Government Services; Banking; Travel (Domestic); Healthcare
Estonia,ee,eu,production,multiple,False,https://e-estonia.com/,PKI-based with multiple credentials + government wallet,Bank credentials,Government,PKI,Mandatory since 2002. 99%+ coverage. ID card + Mobile-ID + Smart-ID + mRiik app.,e-Residency; ID-kaart; Digital ID; Mobile-ID; Smart-ID,Police and Border Guard Board; Telia / Elisa / Tele2,Government Services; Banking; Healthcare; Travel (EU)
European Union,eu,eu,development,wallet,False,https://commission.europa.eu/topics/digital-economy-and-society/european-digital-identity_en,EUDI Wallet (eIDAS 2.0) - framework + 27 national wallets,Government Wallet (Multi-credential),Government,Verifiable Credentials,"Regulation mandates all 27 member states to issue EUDI Wallets by end 2026. One wallet can hold credentials from multiple issuers (government, banks, universities).",EUDI Wallet; National eIDs; Digital Driving License; Health Credentials; Professional Credentials,EU Commission (eIDAS 2.0); Member State Authorities,Cross-Border Government Services; Healthcare (Cross-Border); Professional Recognition; Travel (Schengen)
Germany,de,eu,production,single,False,https://www.bsi.bund.de/EN/Themen/Oeffentliche-Verwaltung/Elektronische-Identitaeten/Online-Ausweisfunktion/online-ausweisfunktion_node.html,NFC-enabled ID card (Online-Ausweisfunktion) + EUDI Wallet in dev,PKI-based,Government,PKI,"eID in ID cards since 2010. EUDI Wallet sandbox launched, gradually usable by early 2027.",Personalausweis; EUDI Wallet; Digital Driver License; Health Card (eGK); Passport,Federal Ministry of Interior; State Authorities; Health Insurance Funds,Government Services; Healthcare; Travel (EU); Banking
India,in,apac,production,single,False,https://uidai.gov.in/,Biometric-based with OTP fallback,Biometric Central Database,Platform,Biometric,Worlds largest. One Aadhaar per resident linked to biometrics.,Aadhaar; PAN Card; Passport; Driver License; Voter ID; Health ID (ABHA),UIDAI; Income Tax Department; Ministry of External Affairs; State RTOs; Election Commission; Ministry of Health,Government Services; Banking (KYC); Tax Services; Travel (Domestic); Healthcare
Israel,il,me,production,single,False,https://en.wikipedia.org/wiki/Israeli_identity_card,Biometric smart cards + government portal,PKI-based,Government,PKI,Teudat Zehut (ID card) mandatory. Digital services via gov.il portal.,Teudat Zehut; Digital ID; Driver License; Passport,Ministry of Interior; Ministry of Transport,Government Services; Banking; Healthcare; Travel
Kenya,ke,africa,production,cloud,False,https://www.ecitizen.go.ke/,Cloud-based browser access,Government Wallet,Browser/Cloud,OIDC,Browser-based. One National ID. SIM-NIN linked.,Maisha Card; National ID; Passport; Driver License; NHIF Card,Civil Registration; Immigration; NTSA; NHIF,Government Services; Healthcare; Banking (KYC); Travel
Malaysia,my,apac,production,single,False,https://www.digitalid.my/,PKI-based with centralized registration,PKI-based,Government,PKI,"Targeting 15M users by end 2025. Mandatory for telcos from Dec 2025, government services from 2026.",MyKad; MyDigital ID; Passport; Driver License,JPN (National Registration); JPJ (Road Transport),Government Services; Banking; Travel; Age Verification
Nigeria,ng,africa,production,single,False,https://nimc.gov.ng/,Biometric central database,Biometric Central Database,Government,Biometric,127M+ enrolled. 73M+ blocked from mobile for lacking ID.,NIN; BVN; International Passport; Driver License; Voter's Card,NIMC; CBN / NIBSS; Nigeria Immigration Service; FRSC; INEC,Government Services; Banking (KYC); SIM Registration; Travel
Oman,om,me,production,single,False,https://gov.om/en/w/digital-identity-service-from-rop,PKI smart cards + digital wallet app,PKI-based,Government,PKI,PKI smart cards. Tawahul program 94%. Digital wallet app since Sep 2025.,National ID; Digital ID; Passport; Driver License,Ministry of Interior; Royal Oman Police,Government Services; Banking; Travel
Qatar,qa,me,production,single,False,https://www.mcit.gov.qa/en/services/national-authentication-service/,Multiple sector systems + digital wallet,OIDC-style authentication,Government,OIDC,"QDI app for digital wallet. Stores passport, ID card, national address, driving license.",Qatar ID; Digital ID; Passport; Driver License,Ministry of Interior; Traffic Department,Government Services; Banking; Travel
Saudi Arabia,sa,me,development,single,False,https://sdaia.gov.sa/,Framework established + digital wallet app,OIDC-style authentication,Government,OIDC,SDAIA framework launched. Digital ID law 2026. Nafath + Tawakkalna super app.,National ID; Absher Digital ID; Passport; Driver License; Iqama,Ministry of Interior; Traffic Police,Government Services; Banking; Travel
Singapore,sg,apac,production,cloud,False,https://www.singpass.gov.sg/,Cloud-native with MyInfo,Government Wallet,Browser/Cloud,OIDC,"5M+ users, 2,700 services across 800+ agencies.",Singpass; NRIC; Digital Identity; Passport,GovTech; ICA,Government Services; Banking; Healthcare; Travel
South Korea,kr,apac,production,single,False,https://www.gov.kr/,Mobile-based certificates + platform wallets,Mobile Certificate,Platform,Certificate,Nationwide rollout March 2025. PASS app + Samsung Wallet integration.,PASS Mobile ID; Resident Registration Card; Digital Driver License; Passport,Ministry of Interior; Korea Road Traffic Authority; Ministry of Foreign Affairs,Government Services; Banking; Age Verification; Travel
Sweden,se,eu,production,multiple,False,https://www.bankid.com/en/,Bank-issued PKI certificates + private wallet apps,Bank credentials,Platform,PKI,94% of smartphone users. 7.6B transactions in 2024. Multiple BankIDs from different banks.,BankID; Freja eID; EUDI Wallet; Health Card; Digital Driving License,Swedish Banks; Freja eID AB; Bolagsverket / DIGG; Transportstyrelsen; 1177 / Healthcare,Government Services; Banking; Healthcare; Travel
Italy,it,eu,development,single,False,https://www.agid.gov.it/en/it-wallet,It Wallet (EUDI-compliant),Government Wallet (Multi-credential),Government,Verifiable Credentials,It Wallet preview launched. Full launch expected 2025-2026 in line with EUDI timeline.,SPID; CIE; EUDI Wallet; Health Card (TS); Digital Driving License,AgID (Digital Italy Agency); Ministry of Interior; Ministry of Health; Ministry of Transport,Government Services; Healthcare; Travel (Domestic/EU); Banking
Spain,es,eu,development,single,False,https://clave.gob.es/en/clave,Cl@ve + EUDI Wallet,Government Wallet (Multi-credential),Government,Verifiable Credentials,Cl@ve system existing. EUDI Wallet in development.,DNIe; Cl@ve; EUDI Wallet; Health Card; Digital Driving License,Ministry of Interior; Ministry of Digital Affairs; Ministry of Health; DGT (Traffic Authority),Government Services; Healthcare; Travel (Domestic/EU); Tax Services
France,fr,eu,development,single,False,https://france-identite.gouv.fr/,France Identité + EUDI Wallet,Government Wallet (Multi-credential),Government,Verifiable Credentials,France Identité (digital ID card) exists. EUDI Wallet in development.,FranceConnect; CNIe; EUDI Wallet; Health Card (Carte Vitale); Digital Driving License,DINUM (Digital Interagency); Ministry of Interior; Assurance Maladie; Ministry of Transport,Government Services; Healthcare; Travel (Domestic/EU); Tax Services
Netherlands,nl,eu,development,single,False,https://www.nldigitalgovernment.nl/overview/identity/id-wallet/,EUDI Wallet (Digid upgrade),Government Wallet (Multi-credential),Government,Verifiable Credentials,DigiD existing. EUDI Wallet expected end 2026.,DigiD; eHerkenning; EUDI Wallet; Digital Driving License; Health Card,Logius (Government IT); Ministry of Interior; RDW (Vehicle Authority); Zorgverzekeraars,Government Services; Business Services; Healthcare; Travel
Portugal,pt,eu,development,single,False,https://www2.gov.pt/en/temas/cidadania-e-documentos/cartao-de-cidadao,EUDI Wallet + eID,Government Wallet (Multi-credential),Government,Verifiable Credentials,One of first to launch EUDI Wallet pilot. Target 2025-2026.,Chave Móvel Digital; Cartão de Cidadão; EUDI Wallet; Health Card; Digital Driving License,AMA (Agency for Modernization); IRN (Records & Notaries); SNS (Health Service); IMT (Transport Institute),Government Services; Healthcare; Travel; Banking
Taiwan,tw,apac,development,single,False,https://civictech.moda.gov.tw/en/what-is-the-taiwan-digital-identity-wallet/,Wallet architecture,OIDC-style authentication,Government,Verifiable Credentials,Prototype revealed March 2025. Target launch end 2026.,National ID; Digital ID; Passport; Driver License; Health Card,National Immigration Agency; Ministry of Transportation; Ministry of Health,Government Services; Healthcare; Travel
United Arab Emirates,ae,me,production,single,False,https://www.uaepass.ae/,Cloud-based centralized + platform wallet,OIDC-style authentication,Platform,Biometric,12K+ services. One per person linked to Emirates ID. Available in Apple Wallet.,Emirates ID; Digital ID (UAE Pass); Passport; Driver License,Federal Authority for Identity; Ministry of Interior; RTA / Traffic Departments,Government Services; Banking; Travel; Age Verification
United Kingdom,gb,eu,development,single,False,https://www.gov.uk/government/collections/uk-digital-identity-and-attributes-trust-framework,Centralized with attribute sharing,OIDC-style authentication,Browser/Cloud,OIDC,"Announced Sept 25, 2025. Mandatory for work by 2029.",UK One Login; Physical Passport; Driving License; Biometric Residence Permit,GOV.UK (GDS); HM Passport Office; DVLA; Home Office,Government Services; Banking; Travel; Age Verification
British Columbia,ca,na,production,single,True,https://www2.gov.bc.ca/gov/content/governments/government-id/bc-wallet,Mobile wallet with credential,Government Wallet,Government,Verifiable Credentials,Person credential LIVE in BC Wallet.,BC Services Card; Physical Driver License; BCID,BC Ministry of Citizens' Services; ICBC,Provincial Government Services; Healthcare; Federal Services; Age Verification
Alberta,ca,na,development,single,True,https://account.alberta.ca/,Digital wallet + mobile health credential,Government Wallet,Government,Verifiable Credentials,Launching digital wallet with health card. New combined plastic card in 2025.,Alberta eID; Driver License; Provincial ID,Service Alberta; Alberta Transportation,Provincial Government Services; Federal Services; Age Verification
Ontario,ca,na,development,single,True,https://www.ontario.ca/page/digital-ontario,Digital ID program (on hold) + third-party app,OIDC-style authentication,Platform,OIDC,Digital ID program halted in 2024. eID-Me (Bluink) available as third-party option.,ONeID; Driver License; Photo Card,ServiceOntario,Provincial Government Services; Federal Services; Age Verification
Quebec,ca,na,development,single,True,https://www.quebec.ca/gouvernement/identite-numerique,SQIN program (suspended) + third-party app,OIDC-style authentication,Platform,OIDC,Identité numérique Québec project suspended March 2025. eID-Me available as third-party option.,RAMQ Card; Physical Driver License; Provincial ID,RAMQ; SAAQ,Provincial Government Services; Healthcare; Federal Services; Age Verification
Manitoba,ca,na,production,single,True,https://www.manitoba.ca/health/mhsip/digitalhealthcard.html,Digital Health Card via MB Wallet app,Government Wallet,Government,Verifiable Credentials,Digital Health Card available via MB Wallet app. Physical ID cards also available.,Driver License; Provincial ID,Manitoba Public Insurance,Provincial Government Services; Federal Services; Age Verification
Saskatchewan,ca,na,development,single,True,https://sgi.sk.ca/photo-id,Digital ID roadmap (paused) + third-party app,OIDC-style authentication,Platform,OIDC,RFP for digital ID issued. eID-Me available as third-party option since 2020.,Driver License; Provincial ID,Saskatchewan Government Insurance,Provincial Government Services; Federal Services; Age Verification
New South Wales,au,apac,development,cloud,True,https://www.service.nsw.gov.au/services/nsw-digital-id,Digital ID pilot program,Government Wallet,Browser/Cloud,OIDC,Pilot program testing digital identity. Digital photo card for 16-21 launch March 2026.,Digital Driver License; Physical Driver License; Proof of Age Card,Service NSW,State Government Services; Federal Services; Age Verification
Victoria,au,apac,production,single,True,https://www.vic.gov.au/do-more-go-digital-driver-licence-service-victoria,Digital driver licence via ServiceVic/myVicRoads,Government Wallet,Government,Verifiable Credentials,Digital driver licence available via myVicRoads and ServiceVic apps. Full licence holders.,Digital Driver License; Physical Driver License; Proof of Age Card,Service Victoria,State Government Services; Federal Services; Age Verification
Louisiana,us,na,production,single,True,https://lawallet.com/,Mobile Driver License (LA Wallet app),Platform Wallet,Platform,mDL,First state mDL (2018). Now accepted at TSA + federal buildings.,mDL; Physical Driver License; State ID,Louisiana OMV,TSA Airport Security; Age Verification; Government Services
Arizona,us,na,production,single,True,https://www.azdot.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,mDL 2020. Apple + Google Wallet.,mDL; Physical Driver License; State ID,Arizona MVD,TSA Airport Security; Age Verification; Government Services
Maryland,us,na,production,single,True,https://mva.maryland.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,Apple + Google Wallet.,mDL; Physical Driver License; State ID,Maryland MVA,TSA Airport Security; Age Verification; Government Services
Colorado,us,na,production,single,True,https://www.colorado.gov/dmv,Mobile Driver License,Platform Wallet,Platform,mDL,Apple + Google Wallet.,mDL; Physical Driver License; State ID,Colorado DMV,TSA Airport Security; Age Verification; Government Services
Georgia,us,na,production,single,True,https://dds.georgia.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,Apple + Google Wallet.,mDL; Physical Driver License; State ID,Georgia DDS,TSA Airport Security; Age Verification; Government Services
Ohio,us,na,production,single,True,https://www.bmv.ohio.gov/,Mobile Driver License (Apple only),Platform Wallet,Platform,mDL,Apple Wallet only.,mDL; Physical Driver License; State ID,Ohio BMV,TSA Airport Security; Age Verification; Government Services
California,us,na,production,single,True,https://www.dmv.ca.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,Apple Wallet Dec 2023.,mDL; Digital ID; Physical Driver License,California DMV,TSA Airport Security; Age Verification; Government Services; Law Enforcement
Utah,us,na,production,single,True,https://dld.utah.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,State app.,mDL; Physical Driver License; State ID,Utah DMV,TSA Airport Security; Age Verification; Government Services
Iowa,us,na,production,single,True,https://iowadot.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,State app.,mDL; Physical Driver License; State ID,Iowa DOT,TSA Airport Security; Age Verification; Government Services
Virginia,us,na,production,single,True,https://www.dmv.virginia.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,Apple + Google Wallet.,mDL; Physical Driver License; State ID,Virginia DMV,TSA Airport Security; Age Verification; Government Services
Nevada,us,na,production,single,True,https://dmv.nv.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,Apple + Google Wallet.,mDL; Physical Driver License; State ID,Nevada DMV,TSA Airport Security; Age Verification; Government Services
Vermont,us,na,production,single,True,https://dmv.vermont.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,State app.,mDL; Physical Driver License; State ID,Vermont DMV,TSA Airport Security; Age Verification; Government Services
New York,us,na,production,single,True,https://dmv.ny.gov/,Mobile Driver License,Platform Wallet,Platform,mDL,200K+ enrollments March 2025.,mDL; Physical Driver License; State ID; Enhanced ID,NY DMV,TSA Airport Security; Age Verification; Border Crossing (Land/Sea); Government Services
New Jersey,us,na,development,single,True,https://www.nj.gov/mvc/,Mobile Driver License (planned),Platform Wallet,Platform,mDL,Law passed 2025.,mDL; Physical Driver License; State ID,New Jersey MVC,TSA Airport Security; Age Verification; Government Services
Texas,us,na,development,single,True,https://www.txdps.gov/,Mobile Driver License (in development),Platform Wallet,Platform,mDL,In development.,mDL; Physical Driver License; State ID,Texas DPS,TSA Airport Security; Age Verification; Government Services
